ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C02843V04551","Occupational Group","C04477V05260","Field of Study","UNIT","VALUE"
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","30","Nursing and Midwifery","Number","6"
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","702","Social Care","Number","225"
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","701","Social Work","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","6","Caring, leisure and other service occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","402","Radiography and Radiation Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","702","Social Care","Number","18"
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","10","Speech and Language Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","7","Sales and customer service occupations","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","201","Dentistry","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","401","Medical Science","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","202","Medicine","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","30","Nursing and Midwifery","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","501","Occupational Therapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","60","Pharmacy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","504","Physiotherapy","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","402","Radiography and Radiation Therapy","Number","3"
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","702","Social Care","Number","12"
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","701","Social Work","Number",""
"HGO16C01","Number of Health Graduates","2010","2010","8","Process, plant and machine operatives","10","Speech and Language Therapy","Number",""
