ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04237V05010","Years not captured","C04477V05260","Field of Study","UNIT","VALUE"
"HGO11C01","Number of Health Graduates","2010","2010","20","5 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","20","5 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","30","Nursing and Midwifery","Number","18"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","22","6 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","30","Nursing and Midwifery","Number","18"
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","24","7 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","30","Nursing and Midwifery","Number","12"
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","26","8 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","30","Nursing and Midwifery","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","28","9 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","30","Nursing and Midwifery","Number","6"
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","30","10 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","30","Nursing and Midwifery","Number","3"
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2010","2010","32","11 years","V52","Dietetics, Optometry and Podiatry","Number",""
