ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04237V05010","Years not captured","C04477V05260","Field of Study","UNIT","VALUE"
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2011","2011","32","11 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","34","12 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","36","13 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","201","Dentistry","Number","27"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","401","Medical Science","Number","27"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","202","Medicine","Number","57"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","30","Nursing and Midwifery","Number","324"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","501","Occupational Therapy","Number","42"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","504","Physiotherapy","Number","30"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","402","Radiography and Radiation Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","702","Social Care","Number","90"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","701","Social Work","Number","15"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","10","Speech and Language Therapy","Number","33"
"HGO11C01","Number of Health Graduates","2011","2011","-","All Years","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","401","Medical Science","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","202","Medicine","Number","33"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","30","Nursing and Midwifery","Number","99"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","501","Occupational Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","504","Physiotherapy","Number","12"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","702","Social Care","Number","51"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","701","Social Work","Number","12"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","10","Speech and Language Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","12","1 year","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","30","Nursing and Midwifery","Number","48"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","501","Occupational Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","504","Physiotherapy","Number","12"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","702","Social Care","Number","21"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","701","Social Work","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","14","2 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","30","Nursing and Midwifery","Number","42"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","504","Physiotherapy","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","702","Social Care","Number","12"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","701","Social Work","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","16","3 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","30","Nursing and Midwifery","Number","42"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","702","Social Care","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","18","4 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","30","Nursing and Midwifery","Number","27"
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","702","Social Care","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","20","5 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","30","Nursing and Midwifery","Number","21"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","702","Social Care","Number","6"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","22","6 years","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","30","Nursing and Midwifery","Number","15"
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","24","7 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","30","Nursing and Midwifery","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","26","8 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","30","Nursing and Midwifery","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","702","Social Care","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","28","9 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","30","Nursing and Midwifery","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","30","10 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","32","11 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","34","12 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","30","Nursing and Midwifery","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","36","13 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","201","Dentistry","Number","21"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","401","Medical Science","Number","12"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","202","Medicine","Number","48"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","30","Nursing and Midwifery","Number","309"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","501","Occupational Therapy","Number","39"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","504","Physiotherapy","Number","42"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","402","Radiography and Radiation Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","702","Social Care","Number","117"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","701","Social Work","Number","33"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","10","Speech and Language Therapy","Number","24"
"HGO11C01","Number of Health Graduates","2012","2012","-","All Years","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","401","Medical Science","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","202","Medicine","Number","27"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","30","Nursing and Midwifery","Number","120"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","501","Occupational Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","504","Physiotherapy","Number","12"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","402","Radiography and Radiation Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","702","Social Care","Number","51"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","701","Social Work","Number","9"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","10","Speech and Language Therapy","Number","12"
"HGO11C01","Number of Health Graduates","2013","2013","12","1 year","V52","Dietetics, Optometry and Podiatry","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","30","Nursing and Midwifery","Number","63"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","504","Physiotherapy","Number","15"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","702","Social Care","Number","30"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","14","2 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","201","Dentistry","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","401","Medical Science","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","30","Nursing and Midwifery","Number","27"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","402","Radiography and Radiation Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","702","Social Care","Number","18"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","16","3 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","30","Nursing and Midwifery","Number","33"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","501","Occupational Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","702","Social Care","Number","12"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","10","Speech and Language Therapy","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","18","4 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","201","Dentistry","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","30","Nursing and Midwifery","Number","18"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","702","Social Care","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","10","Speech and Language Therapy","Number","9"
"HGO11C01","Number of Health Graduates","2013","2013","20","5 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","202","Medicine","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","30","Nursing and Midwifery","Number","18"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","504","Physiotherapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","702","Social Care","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","701","Social Work","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","10","Speech and Language Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","22","6 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","202","Medicine","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","30","Nursing and Midwifery","Number","15"
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","501","Occupational Therapy","Number","3"
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","702","Social Care","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","701","Social Work","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","10","Speech and Language Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","24","7 years","V52","Dietetics, Optometry and Podiatry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","201","Dentistry","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","401","Medical Science","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","202","Medicine","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","30","Nursing and Midwifery","Number","6"
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","501","Occupational Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","60","Pharmacy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","504","Physiotherapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","402","Radiography and Radiation Therapy","Number",""
"HGO11C01","Number of Health Graduates","2013","2013","26","8 years","702","Social Care","Number","3"
