ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","C04477V05260","Field of Study","UNIT","VALUE"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","401","Medical Science","Number","87"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","202","Medicine","Number","210"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","30","Nursing and Midwifery","Number","837"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","501","Occupational Therapy","Number","69"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","504","Physiotherapy","Number","78"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","402","Radiography and Radiation Therapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","702","Social Care","Number","456"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","701","Social Work","Number","87"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","10","Speech and Language Therapy","Number","57"
"HGO14C01","Number of Health Graduates","2010","2010","02","2","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","401","Medical Science","Number","39"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","202","Medicine","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","30","Nursing and Midwifery","Number","348"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","501","Occupational Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","504","Physiotherapy","Number","42"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","702","Social Care","Number","363"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","701","Social Work","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","10","Speech and Language Therapy","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","201","Dentistry","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","401","Medical Science","Number","48"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","202","Medicine","Number","216"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","30","Nursing and Midwifery","Number","492"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","501","Occupational Therapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","504","Physiotherapy","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","402","Radiography and Radiation Therapy","Number","33"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","702","Social Care","Number","99"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","701","Social Work","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","10","Speech and Language Therapy","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","401","Medical Science","Number","87"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","202","Medicine","Number","225"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","30","Nursing and Midwifery","Number","840"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","501","Occupational Therapy","Number","69"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","504","Physiotherapy","Number","69"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","402","Radiography and Radiation Therapy","Number","51"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","702","Social Care","Number","459"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","701","Social Work","Number","87"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","10","Speech and Language Therapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","03","3","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","201","Dentistry","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","401","Medical Science","Number","36"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","202","Medicine","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","30","Nursing and Midwifery","Number","330"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","501","Occupational Therapy","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","504","Physiotherapy","Number","30"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","402","Radiography and Radiation Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","702","Social Care","Number","375"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","701","Social Work","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","10","Speech and Language Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","201","Dentistry","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","401","Medical Science","Number","57"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","202","Medicine","Number","207"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","30","Nursing and Midwifery","Number","531"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","501","Occupational Therapy","Number","63"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","504","Physiotherapy","Number","42"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","402","Radiography and Radiation Therapy","Number","30"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","702","Social Care","Number","96"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","701","Social Work","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","10","Speech and Language Therapy","Number","54"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","401","Medical Science","Number","93"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","202","Medicine","Number","219"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","30","Nursing and Midwifery","Number","861"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","501","Occupational Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","504","Physiotherapy","Number","69"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","402","Radiography and Radiation Therapy","Number","45"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","702","Social Care","Number","471"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","701","Social Work","Number","90"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","10","Speech and Language Therapy","Number","69"
"HGO14C01","Number of Health Graduates","2010","2010","04","4","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","27"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","201","Dentistry","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","401","Medical Science","Number","21"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","202","Medicine","Number","9"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","30","Nursing and Midwifery","Number","276"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","501","Occupational Therapy","Number","6"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","504","Physiotherapy","Number","24"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","702","Social Care","Number","372"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","701","Social Work","Number","15"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","10","Speech and Language Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","201","Dentistry","Number","3"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","401","Medical Science","Number","75"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","202","Medicine","Number","207"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","30","Nursing and Midwifery","Number","600"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2010","2010","05","5","02","Public sector","60","Pharmacy","Number",""
