ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","C04477V05260","Field of Study","UNIT","VALUE"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","02","Public sector","701","Social Work","Number","51"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","02","Public sector","10","Speech and Language Therapy","Number","30"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","401","Medical Science","Number","99"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","202","Medicine","Number","264"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","30","Nursing and Midwifery","Number","1074"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","504","Physiotherapy","Number","45"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","702","Social Care","Number","471"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","701","Social Work","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","10","Speech and Language Therapy","Number","57"
"HGO14C01","Number of Health Graduates","2011","2011","04","4","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","401","Medical Science","Number","27"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","202","Medicine","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","30","Nursing and Midwifery","Number","333"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","501","Occupational Therapy","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","504","Physiotherapy","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","402","Radiography and Radiation Therapy","Number","3"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","702","Social Care","Number","342"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","10","Speech and Language Therapy","Number","27"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","401","Medical Science","Number","69"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","202","Medicine","Number","237"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","30","Nursing and Midwifery","Number","747"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","501","Occupational Therapy","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","504","Physiotherapy","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","402","Radiography and Radiation Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","702","Social Care","Number","129"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","701","Social Work","Number","54"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","10","Speech and Language Therapy","Number","36"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","201","Dentistry","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","401","Medical Science","Number","96"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","202","Medicine","Number","255"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","30","Nursing and Midwifery","Number","1080"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","501","Occupational Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","504","Physiotherapy","Number","48"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","702","Social Care","Number","471"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","701","Social Work","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","10","Speech and Language Therapy","Number","63"
"HGO14C01","Number of Health Graduates","2011","2011","05","5","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","401","Medical Science","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","202","Medicine","Number","48"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","30","Nursing and Midwifery","Number","321"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","501","Occupational Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","504","Physiotherapy","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","402","Radiography and Radiation Therapy","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","702","Social Care","Number","333"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","10","Speech and Language Therapy","Number","24"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","401","Medical Science","Number","72"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","202","Medicine","Number","201"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","30","Nursing and Midwifery","Number","789"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","501","Occupational Therapy","Number","63"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","504","Physiotherapy","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","702","Social Care","Number","177"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","701","Social Work","Number","57"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","10","Speech and Language Therapy","Number","42"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","201","Dentistry","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","401","Medical Science","Number","102"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","202","Medicine","Number","246"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","30","Nursing and Midwifery","Number","1110"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","501","Occupational Therapy","Number","81"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","504","Physiotherapy","Number","48"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","702","Social Care","Number","510"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","701","Social Work","Number","78"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","10","Speech and Language Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","06","6","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","401","Medical Science","Number","30"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","202","Medicine","Number","51"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","30","Nursing and Midwifery","Number","315"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","501","Occupational Therapy","Number","24"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","504","Physiotherapy","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","402","Radiography and Radiation Therapy","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","702","Social Care","Number","327"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","10","Speech and Language Therapy","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","401","Medical Science","Number","69"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","202","Medicine","Number","183"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","30","Nursing and Midwifery","Number","804"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","501","Occupational Therapy","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","504","Physiotherapy","Number","30"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","702","Social Care","Number","189"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","701","Social Work","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","10","Speech and Language Therapy","Number","45"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","201","Dentistry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","401","Medical Science","Number","99"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","202","Medicine","Number","234"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","30","Nursing and Midwifery","Number","1119"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","504","Physiotherapy","Number","45"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","702","Social Care","Number","519"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","701","Social Work","Number","81"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","10","Speech and Language Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","07","7","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","201","Dentistry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","401","Medical Science","Number","36"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","202","Medicine","Number","63"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","30","Nursing and Midwifery","Number","330"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","501","Occupational Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","504","Physiotherapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","402","Radiography and Radiation Therapy","Number","3"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","702","Social Care","Number","312"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","10","Speech and Language Therapy","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","401","Medical Science","Number","69"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","202","Medicine","Number","156"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","30","Nursing and Midwifery","Number","798"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","504","Physiotherapy","Number","27"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","702","Social Care","Number","198"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","701","Social Work","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","10","Speech and Language Therapy","Number","51"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","201","Dentistry","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","401","Medical Science","Number","105"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","202","Medicine","Number","219"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","30","Nursing and Midwifery","Number","1128"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","504","Physiotherapy","Number","42"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","702","Social Care","Number","510"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","701","Social Work","Number","81"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","10","Speech and Language Therapy","Number","69"
"HGO14C01","Number of Health Graduates","2011","2011","08","8","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","401","Medical Science","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","202","Medicine","Number","63"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","30","Nursing and Midwifery","Number","333"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","501","Occupational Therapy","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","504","Physiotherapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","402","Radiography and Radiation Therapy","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","702","Social Care","Number","306"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","10","Speech and Language Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","401","Medical Science","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","202","Medicine","Number","141"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","30","Nursing and Midwifery","Number","771"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","501","Occupational Therapy","Number","63"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","504","Physiotherapy","Number","27"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","702","Social Care","Number","210"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","701","Social Work","Number","57"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","10","Speech and Language Therapy","Number","51"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","201","Dentistry","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","401","Medical Science","Number","99"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","202","Medicine","Number","204"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","30","Nursing and Midwifery","Number","1104"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","504","Physiotherapy","Number","45"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","702","Social Care","Number","516"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","701","Social Work","Number","78"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","10","Speech and Language Therapy","Number","72"
"HGO14C01","Number of Health Graduates","2011","2011","09","9","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","401","Medical Science","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","202","Medicine","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","30","Nursing and Midwifery","Number","318"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","501","Occupational Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","504","Physiotherapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","402","Radiography and Radiation Therapy","Number","3"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","702","Social Care","Number","294"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","701","Social Work","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","10","Speech and Language Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","401","Medical Science","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","202","Medicine","Number","132"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","30","Nursing and Midwifery","Number","843"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","504","Physiotherapy","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","702","Social Care","Number","219"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","701","Social Work","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","10","Speech and Language Therapy","Number","57"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","201","Dentistry","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","401","Medical Science","Number","108"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","202","Medicine","Number","210"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","30","Nursing and Midwifery","Number","1164"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","504","Physiotherapy","Number","51"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","702","Social Care","Number","513"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","701","Social Work","Number","78"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","10","Speech and Language Therapy","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","10","10","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","201","Dentistry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","401","Medical Science","Number","33"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","202","Medicine","Number","78"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","30","Nursing and Midwifery","Number","327"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","501","Occupational Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","504","Physiotherapy","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","402","Radiography and Radiation Therapy","Number","3"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","702","Social Care","Number","294"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","701","Social Work","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","10","Speech and Language Therapy","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","01","Private sector","V52","Dietetics, Optometry and Podiatry","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","401","Medical Science","Number","72"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","202","Medicine","Number","129"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","30","Nursing and Midwifery","Number","849"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","501","Occupational Therapy","Number","66"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","504","Physiotherapy","Number","30"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","402","Radiography and Radiation Therapy","Number","12"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","702","Social Care","Number","228"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","701","Social Work","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","10","Speech and Language Therapy","Number","60"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","02","Public sector","V52","Dietetics, Optometry and Podiatry","Number","9"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","201","Dentistry","Number","15"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","401","Medical Science","Number","105"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","202","Medicine","Number","207"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","30","Nursing and Midwifery","Number","1176"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","501","Occupational Therapy","Number","84"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","60","Pharmacy","Number",""
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","504","Physiotherapy","Number","48"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","402","Radiography and Radiation Therapy","Number","18"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","702","Social Care","Number","522"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","701","Social Work","Number","81"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","10","Speech and Language Therapy","Number","75"
"HGO14C01","Number of Health Graduates","2011","2011","11","11","-","All sectors","V52","Dietetics, Optometry and Podiatry","Number","21"
"HGO14C01","Number of Health Graduates","2011","2011","12","12","01","Private sector","201","Dentistry","Number","6"
"HGO14C01","Number of Health Graduates","2011","2011","12","12","01","Private sector","401","Medical Science","Number","36"
